Year,Title,Speakers,Description,Products,Solutions,Industries,Other_Topics,Session_Focus,Type,Skill_Level,Track,Role,RecordingLink,SlideLink
2015,Splunk: Uniting Ops and Dev (Before DevOps was Cool),"Grace Sumner, Senior Production Operations Engineer, EnerNOC","EnerNOC, a leading provider of Energy Intelligence Software, has a diverse application platform and a complex, quick response operational model. In this presentation we discuss how Splunk, brought in as a technical tool, became an operational godsend. Splunk enabled operational users to have unprecedented systems data access and quickly gain insight through searches and dashboards, and with the use of alerting, made that knowledge actionable. Once Ops brought in the Dev team followed. Splunk is now one of our primary DevOps tools. Every organization has a wide variety of knowledge and technical competencies. Splunk becomes a focal point that helps organizations to share knowledge and reduce the need for translation. This helps us all speak the same language, and thereby ""raises all ships"" in technical literacy.","Splunk Enterprise, Splunk Cloud","Application Delivery, Big Data, Business Analytics, Cloud Solutions, IT Operations, Log Management, Best Practices, Customer Success Story, Getting Data In",Energy & Utilities,,,Breakout Session,Good for all skill levels,Application Delivery,"Developer, Operations Manager",conf.splunk.com/session/2015/recordings/2015-splunk-89.mp4,conf.splunk.com/session/2015/conf2015-PPT-Grace-Sumner-EnerNOC-WED-Breakout-12.pdf
2015,Highly Efficient and Scalable Splunk Architecture for the Enterprise,"Gus Horn, Global Consulting Systems Engineer - Analytics, NetApp Inc.","Search and indexing efficiencies are critical for an optimal Splunk deployment. The NetApp portfolio with the world leading EF (All Flash storage) and the expansion of the E5660 to PetaBytes of capacity enables customers to maximize performance, availability and data center foot print while minimizing energy consumption. The EF product achieves consistent sub .5 ms latency with ultra-high throughput consistently and throughout its lifespan. With the capabilities of Splunk to tie the HOT/WARM/COLD one would not have to incur any network bandwidth consumption to achieve these efficiencies. In addition the EF is capable of greater than 150,000 Bonnie++ IOPS, enabling Splunk users to index more data than ever before within a very small footprint. In short with the E-Series and NetApp validated design customers can index more data gain faster insights, reduce operational costs and improve time to knowledge.",Splunk Enterprise,,,,,Breakout Session,Good for all skill levels,Deploying Splunk,"Administrator, Architect",conf.splunk.com/session/2015/recordings/2015-splunk-174.mp4,
2015,Paint By Number: The New Geo Visualization in Splunk,"Michael Porath, Product Manager, Splunk; Geoffrey Hendrey, Architect, Splunk","Geospatial or location-based data has found widespread use in many organizations for mobile phone users, business transactions and industrial operations. In this talk, we will reveal a new visualization type that allows you to see your geospatial data on a map, explore patterns, and analyze your data visually. You will learn when to use it to make the most of your data and we'll show you how to create visualizations in a matter of just a few minutes. Learn where your customers spend the most, where security threats come from, and find surprising patterns in many more areas, through the power of geographic representations.",Splunk Enterprise,"Big Data, Business Analytics, IoT & Industrial Data, IT Operations, Security / Compliance / Fraud, Best Practices, Visualization",,,,Breakout Session,Good for all skill levels,What's New,"Administrator, Architect, Operations Manager, Security Analyst",conf.splunk.com/session/2015/recordings/2015-splunk-73.mp4,conf.splunk.com/session/2015/conf2015_MPorath_GHendrey_Splunk_SplunkEntWhatsNew_PaintByNumberWhats.pdf
2015,Building a Cyber Security Program with Splunk App for Enterprise Security,"Jeff Campbell, Cyber Security, Penn State Hershey Medical Center","Penn State Hershey is building out its cyber Sscurity capabilities, with Splunk App for Enterprise Security as a key component of our strategy. In this session, the speaker provides his experiences over the past year in building out the program, implementing several key cyber technologies, and on how Splunk was leveraged as a force multiplier.","Splunk Enterprise, Splunk Enterprise Security","Security / Compliance / Fraud, Customer Success Story","Healthcare, Higher Education",,,Breakout Session,Good for all skill levels,"Security, Compliance and Fraud",Security Analyst,conf.splunk.com/session/2015/recordings/2015-splunk-70.mp4,conf.splunk.com/session/2015/conf2015_JCampbell_PennState_SecurityCompliance_BuildingACyberSecurityProgram.pdf
2015,Splunk Distributed Processing With Spark,"Liu-yuan Lai, Engineer, Splunk","The flexibility of search language, along with the distributed indexing, are critical parts of Splunk's unique advantages. To advance to the next level, one expects frameworks to be more intelligent, able to unburden people from the deluge of data and to use it to gain insights. To provide such intelligence, machine/statistical learning provides an arsenal of tools. To handle the amount of data that's continualy increasing, scalable distributed computing is a basic requirement. Spark is one of the most actively and well-architected distributed computation frameworks that has SQL support, with scalable machine learning and graph processing libraries built on top of this architecture.",Splunk Enterprise,"Big Data, IT Operations",,,,Breakout Session,Good for all skill levels,Big Data,"Administrator, Architect, Developer",conf.splunk.com/session/2015/recordings/2015-splunk-61.mp4,conf.splunk.com/session/2015/conf2015_LYuan_Splunk_BigData_DistributedProcessingwithSpark.pdf
2015,Customer Panel: Gaining IT Operational Intelligence,"Daneil Nye, Surrey Satellite; Arzu Gosney, PNNL; Tim Wes, Sierra Cedar; Steven Bochniewicz, UMUC; Clint Sharp, Splunk","Join us for an interactive Q&A session with a panel of Splunk customers spanning several use cases and a discussion of how they were successful at getting Splunk IT Operational Intelligence adopted within their organization.","Splunk Enterprise, Splunk Cloud",IT Operations,,,,Panel Discussion,Good for all skill levels,IT Operations,"Administrator, Architect, Developer, Operations Manager, Business Manager, CIO, CTO",,
2015,Intro to Splunk for DBAs,"Holly Willey, Solutions Architect, Splunk","Are you an experienced DBA, but new to Splunk? Did your company recently buy or implement Splunk to improve Operational Intelligence or application delivery? Are you currently sorting out how this technology compares to what you are used to? Then this session was created for you. We'll discuss the basic architecture of Splunk, including HA strategies. Then, we will consider structured vs. unstructured data, take a look at loading data, and contrast SPL with SQL. Finally, we'll wrap up with search optimization, archiving historical data, touch on security, and exploring your alert log in Splunk.",Splunk Enterprise,"Application Delivery, IT Operations",,,,Breakout Session,Good for all skill levels,Using Splunk / Search Language,Administrator,conf.splunk.com/session/2015/recordings/2015-splunk-100.mp4,conf.splunk.com/session/2015/conf2015_HWilley_Splunk_UsingSplunkSearchLanguage_IntrotoSplunkfor.pdf
2015,Splunk at DATEV: Reducing Incidents and Enhancing Services with Operational Intelligence,"Andreas Jahnke, Manager ITIL Event Management and Monitoring, DATEV eG","Discover how DATEV has delivered cross-departmental visibility into IT infrastructure in order to reduce major incidents and improve the service they offer to customers. This session covers useful techniques to reduce mean time to investigate (MTTI) and mean time to resolve (MTTR). In addition to monitoring servers and network devices, learn how DATEV is gaining operational insights from mainframe servers and applications with Syncsort's Ironstream and web applications.",Splunk Enterprise,"IT Operations, Log Management, Customer Success Story",Technology,,,Breakout Session,Good for all skill levels,IT Operations,"Operations Manager, Administrator",conf.splunk.com/session/2015/recordings/2015-splunk-128.mp4,conf.splunk.com/session/2015/conf2015_AJahnke_Datev_ITOPS_SplunkAtDATEVReducing.pdf
2015,How to Use Common Information Model to Gain Security Awareness and Prepare for Enterprise Security,"Niklas Blomquist, Senior Sales Engineer, Splunk","With the help of the Common Information Model (CIM) you can easy create reports and dashboards that give you security awareness. The CIM is a framework for normalizing data, which will help you to prepare for a Splunk App for Enterprise Security implementation and make it easier to create correlation rules. We will explain what the Common Information Model is, how it works, how to use Technical Add-ons to normalize the data and demo how to make reports and dashboards out of the existing data models in CIM.","Splunk Enterprise, Splunk Enterprise Security","Big Data, IT Operations, Log Management, Security / Compliance / Fraud, Best Practices, Deploying Splunk",,,,Breakout Session,Intermediate,"Security, Compliance and Fraud","Administrator, Architect, Security Analyst",conf.splunk.com/session/2015/recordings/2015-splunk-74.mp4,conf.splunk.com/session/2015/conf2015_NBloomquist_Splunk_SecurityCompliance_HowToUseCommonInfo.pdf
2015,Using Splunk Software to Harness Zebra's Manufacturing and Device Data to Gain Visibility and Provide Operational Intelligence,"Saul Llamas, Manufacturing Test Engineering Manager, Zebra Technologies","To gain visibility of quality functions, specifically, final product test and configuration, requires the use of data historians or other types of structured relational databases that require heavy IT resources to create schemas and IT system architectures that tend to stay fixed or require change control procedures to modify. Zebra's products have evolved over time to be sophisticated, highly configurable pieces of equipment that print barcode labels to support enterprise asset intelligence solutions. As these printer products are manufactured, the goals were to capture the time that product was tested, how it was tested and how it was configured along with any device profile that can be extracted from the device. This discussion will focus on how Splunk software has provided visibility to the manufacturing environment by collecting test and configuration profiles at the time the item is manufactured and how Zebra is harnessing this data to drive Operational Intelligence.",Splunk Enterprise,"IoT & Industrial Data, Business Analytics, Customer Success Story","Manufacturing, Technology",,,Breakout Session,Good for all skill levels,Business Analytics,"Architect, Business Manager, Operations Manager, Developer, Administrator",conf.splunk.com/session/2015/recordings/2015-splunk-113.mp4,conf.splunk.com/session/2015/conf2015_SLlamas_Zebra_BusinessAnalytics_UsingSplunkToHarness_FINALv2.pdf
2015,Data and Analytics in Financial Services,"Christopher Thompson, Arijit Das and Stefano Guidobaldi, Orrstown Bank, Northern Trust, Unicredit","Forget the hype and hear from leading financial services organizations that are using data and analytics to solve real world problems. Join our panelists as they discuss their approach to data and analytics to improve operational efficiency, deliver more customer value, and strengthen risk and security measures.","Splunk Enterprise, Splunk Cloud","Best Practices, Customer Success Story",Financial Services,,,Panel Discussion,Good for all skill levels,Business Analytics,"Operations Manager, Security Analyst, Business Manager, CIO, CTO, CISO",conf.splunk.com/session/2015/recordings/2015-splunk-179.mp4,
2015,Properly Managing Configs,"Sanford Owings, Principal Consultant, Splunk; Laurie Hofer, Sr. Professional Services Consultant, Splunk",This session explores effective management of Splunk's configuration files and where they need to be. This Professional Service field presentation of base configuration and best practice session provides guidance for getting your environment up quickly and properly whether it's a standalone environment or multi-site.,Splunk Enterprise,,,,,Breakout Session,Intermediate,Deploying Splunk,"Architect, Administrator",conf.splunk.com/session/2015/recordings/2015-splunk-106.mp4,conf.splunk.com/session/2015/conf2015_SOwingsLHofer_Splunk_Deploying_ProperlyManagingConfigurationFiles_FINAL.pdf
2015,Properly Managing Configs,"Sanford Owings, Principal Consultant, Splunk; Laurie Hofer, Sr. Professional Services Consultant, Splunk",This session explores effective management of Splunk's configuration files and where they need to be. This Professional Service field presentation of base configuration and best practice session provides guidance for getting your environment up quickly and properly whether it's a standalone environment or multi-site.,Splunk Enterprise,,,,,Breakout Session,Intermediate,Deploying Splunk,"Architect, Administrator",conf.splunk.com/session/2015/recordings/2015-splunk-106b.mp4,conf.splunk.com/session/2015/conf2015_SOwingsLHofer_Splunk_Deploying_ProperlyManagingConfigurationFiles_FINAL.pdf
2015,UniCredit and V-TServices: Four Years of Splunk Integration Facing Heterogeneous Use Cases,"Mirko Carrara, IT Operations Architect and Splunk Lead, Value Transformation Services; Stefano Guidobaldi, IT System Architect, Unicredit","UniCredit is a leading European commercial bank with an international network spanning 50 markets, with more than 8,400 branches and over 146,000 employees. V-TServices is a company aimed at optimizing infrastructure management for European financial services companies leveraging innovative information technology management services. This session will cover how UniCredit and V-TServices use Splunk to answer many, and often heterogeneous, needs. A 4-year journey in which Splunk became one of the key solutions for many different use-cases ranging from IT Operations to Business Analytics, from Application Management to ""Splunk as a core application data engine"". The presentation will go through the implementation in terms of: defined data sources, deployed integrations, most frequently used apps and much more. Moreover, it will illustrate multiple tips and lessons-learned while running a multi-terabyte Splunk deployment collecting several different source-types from thousands of origins and some architectural choices we made to handle our geo-distributed environment in the best way. ",Splunk Enterprise,"Business Analytics, IT Operations, Customer Success Story",Financial Services,,,Breakout Session,Intermediate,Business Analytics,"Administrator, Architect, Developer, Operations Manager, Security Analyst, Business Manager, CIO, CTO, CISO",conf.splunk.com/session/2015/recordings/2015-splunk-101.mp4,conf.splunk.com/session/2015/conf2015_SGuidobaldi_MCarrara_Business_Analytics_UniCreditandVTServices.pdf
2015,What You Think Is Real Is Not Real--Learn How Splunk Uncovered the Truth!,"Alex Gitelzon, System Administrator, American Public Media; Jeff Kent, President, m-mobo","Until recently, digital content producers have had to trust the download metrics provided by third party companies--CDNs, ad servers, Podtracker, iTunes, etc. The challenge is the metrics are not collected consistently across technologies. Streaming media tracking is complicated and third-party systems are creating false impressions that need to be manually filtered. Advertisers rely on these metrics when buying digital ad impressions. Unfortunately for the advertisers, they may be buying server pings and robot downloads. Learn how we used Splunk to ""normalize"" multi-technology streaming data in a CIM-compliant manner. Leveraging data model acceleration to produce a fast, unified view into crucial business metrics and identify robots saved $6K in a month. Understand how to analyze/normalize streaming media data and apply it to a data model using extractions, eventtypes, tags, etc. Tips and tricks to write and validate complex accelerated dashboards across different types of data.",Splunk Enterprise,"Big Data, Business Analytics, Customer Success Story, Best Practices",Media & Entertainment,,,Breakout Session,Intermediate,Using Splunk / Search Language,"Administrator, Architect, Developer, Operations Manager, Business Manager",conf.splunk.com/session/2015/recordings/2015-splunk-111.mp4,conf.splunk.com/session/2015/conf2015_AGitelzon_JKent_mmobo_APM_UsingSplunkSearchLanguage_WhatYouThinkIs.pdf
2015,Build A Sample App to Streamline Security Operations--And Put It to Use Immediately,"Dimitri McKay, Senior Security Specialist, Splunk","This session will describe how to:
1) Build an app using Common Information Model and existing dashboards
2) Display dashboards for all known events by domain/type of alert for IP/host 
3) Get the app so you can use it immediately
4) How to modify/extend the app to suit your environment/data set",Splunk Enterprise Security,"Best Practices, Security / Compliance / Fraud",,,,Breakout Session,Good for all skill levels,"Security, Compliance and Fraud",Security Analyst,conf.splunk.com/session/2015/recordings/2015-splunk-186.mp4,
2015,Search Efficiency Optimization,"Duncan Turnbull, Solutions Architect, Splunk; Julian Harty, Solutions Architect, Splunk","Gain a comprehensive understanding of search efficiency optimization techniques at the search line, along with which techniques to avoid. Evaluate search time efficiency and performance for many common use cases. Learn about summary indexes, search accelerations, lookup tables, saved searches and jobs, and pivot tables contribute to, and in some cases hide, search performance and efficiency. Repeats in Breakout 6.",Splunk Enterprise,"Big Data, Log Management, Best Practices",,,,Breakout Session,Intermediate,Using Splunk / Search Language,"Operations Manager, Administrator, Developer, Security Analyst",conf.splunk.com/session/2015/recordings/2015-splunk-50b.mp4,conf.splunk.com/session/2015/conf2015_JHarty_DuncanTurnbull_Splunk_UsingSplunkSearchLanguage_AQuickGuideToSearch.pdf
2015,Splunk Search Pro Tips,"Dan Aiello, Principal Cyber Security Engineer, MITRE Corporation","Have you ever said ""I wish I could do _____ in Splunk?"" When I ask myself that question, I exhaust every resource I have to get from ""I wish"" to ""I can."" In this talk, we'll cover a variety of unusual pro tips that you've always needed (or never knew you wanted until now).",Splunk Enterprise,"Best Practices, Customer Success Story","Public Sector, Technology",,,Breakout Session,Intermediate,Splunk Classics,"Administrator, Architect, Developer, Operations Manager, Security Analyst",conf.splunk.com/session/2015/recordings/2015-splunk-79.mp4,conf.splunk.com/session/2015/conf2015_DAiello_Mitre_SplunkClassics_SearchProTipsv06.pdf
2015,Supercharge Your Mobile App Delivery with Splunk MINT,"Kostas Polychronis, Head of Mobile, Splunk MINT, Splunk","It is an unquestioned fact that consumers rely on mobile more and more each day. Transactions are moving from PCs and laptops to mobile devices and tablets. Splunk is able to collect and process petabytes of data that are produced by your servers and websites. But what about the data created from mobile? Splunk MINT (Mobile Intelligence) is the answer. With Splunk MINT, you automatically get insights, analytics, performance data and crash data but you can also gather more data to track user analytics and behavior, events and transactions. For all those with the power of Splunk Enterprise!","Splunk MINT, Splunk Enterprise","Application Delivery, Big Data, Business Analytics, IT Operations",,,,Breakout Session,Good for all skill levels,Mobile Intelligence,"Developer, Administrator, Operations Manager",conf.splunk.com/session/2015/recordings/2015-splunk-44.mp4,conf.splunk.com/session/2015/conf2015_KPolychronis_MobileIntelligence_SuperchargeYourMobileApp.pdf
2015,"Indexer Clustering Best Practices, Tips and Tricks","Da Xu, Senior Software Engineer, Splunk","This session will cover how indexer clustering works, various configurations, different problems as the cluster scales up, and tips and tricks to get improved performance. ",Splunk Enterprise,,,,,Breakout Session,Intermediate,Deploying Splunk,"Architect, Administrator",conf.splunk.com/session/2015/recordings/2015-splunk-68.mp4,conf.splunk.com/session/2015/conf2015_Dxu_Splunk__Deploying_IndexerClusteringTips.pdf
2015,"Indexer Clustering Best Practices, Tips and Tricks","Da Xu, Senior Software Engineer, Splunk","This session will cover how indexer clustering works, various configurations, different problems as the cluster scales up, and tips and tricks to get improved performance. ",Splunk Enterprise,,,,,Breakout Session,Intermediate,Deploying Splunk,"Architect, Administrator",conf.splunk.com/session/2015/recordings/2015-splunk-68b.mp4,conf.splunk.com/session/2015/conf2015_Dxu_Splunk__Deploying_IndexerClusteringTips.pdf
2015,Indicators to Adversaries - Intrusion Analysis Using the Diamond Model,"Monzy Merza, Minister of Defense, Splunk","Track adversaries like many government and intelligence organizations do! Get beyond matching threats and responding to alerts. This talk is a must for C-level audiences and security practitioners alike. We will discuss how you can mature your security incident analysis processes to gain better understanding of your adversaries. We will discuss intrusion analysis by operationalizing the Diamond model. As analysts conduct investigations, it is important for them to understand the artifacts of compromise within their own environment. It is equally important to recognize their adversary's capabilities and infrastructure so future attacks or adversary intent can be understood. This knowledge will allow analyst teams and management to make strategic decisions to allocate processes, instrumentation and personnel. Attendee takeaways: You will learn about the Diamond model; the data sources required to implement and use the Diamond model in your operations; and we will share working examples on using the Diamond model in Splunk Enterprise Security.",Splunk Enterprise,Security / Compliance / Fraud,,,,Breakout Session,Intermediate,"Security, Compliance and Fraud","Administrator, CISO, Security Analyst",conf.splunk.com/session/2015/recordings/2015-splunk-32b.mp4,
2015,Keeping Splunk in Check: Tools to Better Manage Your Investment,"Aaron Kornhauser, Sr. Professional Services Consultant, Splunk; Vladimir Skoryk, Sr. Professional Services Consultant, Splunk",This presentation will discuss monitoring the health of your Splunk environment with the Distributed Management Console and Splunk Health Check Overview App. The session will cover Splunk Professional Services team best practices for tuning and which key indicators to look for to ensure your environment is functioning properly.,Splunk Enterprise,,,,,Breakout Session,Good for all skill levels,Deploying Splunk,"Architect, Administrator",conf.splunk.com/session/2015/recordings/2015-splunk-92.mp4,conf.splunk.com/session/2015/conf2015_Akornhauser_Splunk_KeepingSplunkinCheck.pdf
2015,Building Your App on an Accelerated Data Model,"Helge Klein, Founder, vast limits GmbH","Many apps have dashboards that need to run searches over millions of events before results can be displayed. Opening these dashboards can be painful as they may take minutes to populate. This is where an accelerated data model can help, as it easily speeds up searches by 50x to 100x. It is the only Splunk acceleration technology that works on all searches, but it requires a rewrite of the search processing language statements. In this session, you will learn all you need to know in order to make use of this exciting Splunk feature.",Splunk Enterprise,,,,,Breakout Session,Intermediate,Developer,"Administrator, Developer, Operations Manager, Security Analyst",conf.splunk.com/session/2015/recordings/2015-splunk-120.mp4,conf.splunk.com/session/2015/conf2015_HKlein_UberAgent_Developing_BuildingYourAppOn.pdf
2015,Hands-On Session: Security Intelligence with Your Very Own Instance of Splunk Enterprise Security,"James Brodsky, Security Subject Matter Expert, Splunk","(Bring your laptop, not a tablet, preferably a non-IE browser) Join our security experts to learn how to use Splunk Enterprise Security in this special two-hour interactive, hands-on session. We'll begin by helping you obtain your own personal Splunk Enterprise Security environment provisioned in the cloud. We'll take a brief tour through this next-generation security intelligence platform to show you some of the unique capabilities of the product, then we'll get right into detecting advanced threats and moving through an incident response scenario. We'll use Splunk Enterprise Security to detect an advanced threat, and then work the incident to disrupt an adversary's Kill Chain by finding the actions on intent, exploitation methods, and reconnaissance tactics used against a simulated organization. We will investigate using comprehensive data sets for full visibility across the enterprise -- including threat intelligence feeds, endpoint activity logs, e-mail logs, and web access logs. This session is a must for all security professionals! Don't forget to bring your laptop -- and get ready to roll up your sleeves!",Splunk Enterprise Security,"Best Practices, Security / Compliance / Fraud",,,,Breakout Session,Good for all skill levels,"Security, Compliance and Fraud",Security Analyst,conf.splunk.com/session/2015/recordings/2015-splunk-131.mp4,conf.splunk.com/session/2015/conf2015_JBrodsky_Splunk_Security_HandsOnSecurityIntelligence.pdf
2015,Splunking Wind Turbines and Keeping the Earth Green,"Marijan Fofonika, Senior developer, INFIGO IS d.o.o.; Ante Martinic, Business Unit Director, Koncar","The KONCAR Group is an electrical, transport and energy company based in Zagreb, Croatia. Among the many companies in the group, KONCAR electrical industry builds and deploys wind turbines. Wind turbines generate a huge amount of data about their availability, production of energy and energy losses. KONCAR previously stored this data in a SQL database and used external applications to produce various reports as well as to proactively alert when a particular wind turbine is having issues. This became extremely cumbersome as the amount of historical data kept growing. In a successful project, INFIGO implemented Splunk as the tool for analysis and visualization of data generated by wind turbines. All complex calculations that were done before by external applications have been fully implemented in Splunk. Finally, a custom external .NET application has been developed that relies on Splunk's SDK API to produce specific PDF and Excel reports in formats requested by the customer.",Splunk Enterprise,"Application Delivery, IoT & Industrial Data, Customer Success Story","Energy & Utilities, Manufacturing",,,Breakout Session,Intermediate,Internet of Things,"Administrator, Architect, Developer, Operations Manager, Security Analyst, Business Manager, CIO, CTO, CISO",conf.splunk.com/session/2015/recordings/2015-splunk-91.mp4,conf.splunk.com/session/2015/conf2015_MFofonika_AMartinic_Infigo_Koncar_IoT_SplunkingWindTurbinesAnd.pdf
2015,Splunk Cloud Hybrid Search: How Aurizon Expanded Its Existing Splunk Enterprise Deployment With Splunk Cloud,"Sebnem Kurklu, Information Security Manager, Aurizon; Simon O'Brien, Solutions Architect, Splunk","Aurizon is the largest rail freight operator in Australia, transporting more than 250 million tons of Australian commodities each year. Aurizon also owns and operates the world's largest coal rail network. Join us in this session to hear how Aurizon expanded its on-premises Splunk Enterprise deployment with Splunk Cloud by leveraging Splunk Cloud's hybrid search capabilities. Also learn how Aurizon overcame internal deployment obstacles to successfully leverage Splunk Cloud. ","Splunk Cloud, Splunk Enterprise","Cloud Solutions, Security / Compliance / Fraud, Customer Success Story",Travel & Transportation,,,Breakout Session,Good for all skill levels,Cloud,"Administrator, Architect",conf.splunk.com/session/2015/recordings/2015-splunk-53.mp4,conf.splunk.com/session/2015/conf2015_SKurklu_Aurizon_Cloud_AurizonandSplunkCloud.pdf
2015,Finding Advanced Attacks and Malware with Only 6 Windows EventIDs,"Michael Gough, Founder, Malware Archaeology","Windows logs are solid gold if you know what to Enable, Configure, Gather and Harvest. When hacked, they can tell you what you need to know to find and harvest the malware and what occurred. This talk walks through simple commodity malware seen in SPAM, drive-bys and a advanced nation state attacks, and what SIX Windows Event Codes and information in the logs allowed us to harvest their malware and understand what, where and when they were doing it. Details of the attack from the logs and the queries used are covered and shared to allow you to catch a similar type of attack. This talk shows an advanced attack at its finest, but is designed to be Blue Team Defense in nature so you can learn from those that deal with malware and advanced attacks almost daily. What works and why will also be discussed. Handouts will be provided, as well as the Splunk queries used so you can start to use Splunk to monitor for such attacks.",Splunk Enterprise,"Security / Compliance / Fraud, Best Practices, Customer Success Story, Windows",,,,Breakout Session,Good for all skill levels,"Security, Compliance and Fraud",Security Analyst,conf.splunk.com/session/2015/recordings/2015-splunk-86v2.mp4,conf.splunk.com/session/2015/conf2015_MGough_MalwareArchaelogy_SecurityCompliance_FindingAdvnacedAttacksAnd.pdf
2015,Keep Your Eyes on the KPIs! Enhancing Reliability with Splunk Alarming into your NOC,"Matthew Modestino, Network Specialist, Telus","If a KPI degrades and no one is around to see it, does it make a noise? With Splunk alerting integration to your NOC, it will! Get your techs paged and engaged by leveraging Splunk to notify your 24x7 surveillance teams of network or service degradations. See how Telus Network Operations is using Splunk Alerts, KVStore, REST API and SNMP to identify network/service degradations early to ensure our clients don't.",Splunk Enterprise,"Big Data, IT Operations, Best Practices, Customer Success Story",Communications,,,Breakout Session,Good for all skill levels,Using Splunk / Search Language,"Operations Manager, Administrator",conf.splunk.com/session/2015/recordings/2015-splunk-64.mp4,conf.splunk.com/session/2015/conf2015_MModestino_Telus_UsingSplunkSearchLanguage_KeepYourEyesOn.pdf
2015,Advanced Interactions Using SimpleXML,"Mathew Elting, Senior Software Engineer, Splunk; Siegfried Puchbauer, Senior Software Engineer, Splunk","Splunk dashboards and forms provide a solid framework to quickly compose static content for showing and visualizing data from search results. Tapping into the full power of SimpleXML allows you to go beyond that and build rich interactions and workflows into your dashboards without resorting to code. In this session you'll learn how to take a rudimentary dashboard and advance it step by step to provide a rich and interactive user experience, covering hooks and building blocks available in SimpleXML, including new ones introduced in the next version of Splunk.",Splunk Enterprise,"Best Practices, Visualization",,,,Breakout Session,Advanced,Developer,"Administrator, Architect, Developer, Operations Manager, Security Analyst",conf.splunk.com/session/2015/recordings/2015-splunk-138.mp4,conf.splunk.com/session/2015/conf2015_MElting_SPuchbauer_Splunk_Developing_AdvancedInteractionsWithSimple.pdf
2015,Beyond SplunkWeb: How Alcatel-Lucent Used the Splunk SDK to Build an Integrated Reporting Platform,"Rory Blake, Senior Professional Services Consultant, Splunk","The way we watch TV and video is undergoing a revolution. Alcatel-Lucent's Velocix CDN helps many of the world's tier 1 telcos and media providers address the challenges that this revolution brings, allowing them to offer video services on any device, anywhere. So when Alcatel-Lucent wanted to refresh the Velocix CDN reporting system, they took the path less travelled. By using the Splunk SDK to build a fully integrated product that put the power of Splunk directly into a bespoke UI. Learn about the challenges and benefits of leaving the SplunkWeb UI behind and how the Alcatel-Lucent team built a fully integrated product to be deployed at scale.",Splunk Enterprise,,Communications,,,Breakout Session,Good for all skill levels,Developer,"Developer, Administrator",conf.splunk.com/session/2015/recordings/2015-splunk-165.mp4,conf.splunk.com/session/2015/conf2015_RBlake_Splunk_Developing_BeyondSplunkWebHowAlcatel_FINAL.pdf
2015,Holistic Incident Response or: How Security Learned to Stop Worrying and Love IT,"Eric Schroeder, Director, Application Engineering, ServiceNow; Myke Lyons, Director, Information Security, ServiceNow","Your IT infrastructure was built for productivity, but is now the beating heart of your organization. With intrusion attempts and malware on the rise, protecting it is key. And it's a moving target: new systems are coming on line at an increasing rate. Sound familiar? At ServiceNow, we face these challenges internally, and with thousands of our customers. We operate one of the top enterprise clouds supporting customers in all industries. Our own software provides service and change management capabilities, but how do we evaluate risk, react to outages, stop emerging threats, and have a proactive remediation strategy? Splunk provides the intelligence, feeding directly into an automated approach to enterprise service delivery, and illuminates the correlation between business service and risks and incidents. Attend this session and learn what happens when Splunk intelligence is combined with ServiceNow's security and operations management solutions. ",Splunk Enterprise,"Cloud Solutions, Security / Compliance / Fraud",,,,Breakout Session,Good for all skill levels,"Security, Compliance and Fraud","Administrator, Operations Manager, Security Analyst",conf.splunk.com/session/2015/recordings/2015-splunk-181.mp4,
2015,Optimizing Splunk Knowledge Objects - A Tale of Unintended Consequences,"Martin Mueller, Consultant, Consist Software Solutions GmbH","As your Splunk Deployment grows, so does your world of Knowledge Objects - lookups, tags, eventtypes, and many more. Are you maintaining a large set of systems sending heterogeneous data into Splunk with a CIM-style layer on top to normalize accessing that data? Have you noticed a creeping slowdown of your search startup, or at least felt as if things sometimes didn't move along as fast as you'd like them to? In this session, we will explore common offenders, and what can trigger an explosion of complexity for Splunk to deal with (or not). Using examples derived from real-world experience, you will learn how small changes made at one end of your search-time configuration can have great impacts on the other. To accomplish this, we will peek under the hood of how Splunk translates higher-level search constructs into normalized searches, and how you can use this knowledge to your advantage.",Splunk Enterprise,Customer Success Story,Technology,,,Breakout Session,Advanced,Deploying Splunk,"Architect, Administrator, Operations Manager",conf.splunk.com/session/2015/recordings/2015-splunk-134.mp4,conf.splunk.com/session/2015/conf2015_MMueller_Consist_Deploying_OptimizingSplunkKnowledge.pdf
2015,Notes on Optimizing Splunk Performance,"Dritan Bitincka, Principal Solutions Architect, Splunk",A session on Splunk indexing and search performance analysis under various conditions and environments (physical vs. virtual). Focus will be around debunking common misconceptions and presenting best practices.,Splunk Enterprise,,,,,Breakout Session,Advanced,Deploying Splunk,"Architect, Administrator",conf.splunk.com/session/2015/recordings/2015-splunk-160.mp4,conf.splunk.com/session/2015/conf2015_DBitincka_Splunk_Deploying_NotesonOptimizingSplunk.pdf
